name,reportsTo,description,responsibility,basicSkills,specificSkills,knowledge,interest,url
Chief Executive Officer,,"Chief Executive Officer hold the highest ranking in a pyramidal corporate structure. They are able to hold a complete idea of the functioning of the business, its departments, risks, and stakeholders. They analyze different kinds of information and create links among them for decision-making purposes. They serve as a communication link with the board of directors for reporting and implementation of the overall strategy.","|Lead and manage the company or organization as a whole.|Determine objectives, strategies, policies and programs for companies or organizations.|Review the operations and achievements of the enterprise or organization and report to the board of directors and governing bodies.|Make big decisions.|Planning, directing and coordinating the general functions of the enterprise or organization.","|Decision Making - proficiency in choosing between two or more alternatives.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Coordination - proficiency in adjusting actions in relation to other's actions.","|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Analytical - ability to collect and analyze information, problem-solve, and make decisions.|Business Analysis - proficiency in identifying business needs and determining solutions to business problems.|Cash Management - proficiency in area of financing involves the collecting, handling and usage of cash.|Risk Management - proficiency in evaluating and reviewing compliance with applicable legislation and regulations for the business unit and manage risk","|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Sales and Marketing - Knowledge of principles ad methods for showing, promoting, and selling products or services.|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.",https://emasco.mohr.gov.my/masco/MASCO Code : 1121-01
Chief Operating Officer,1,"Chief Operating Officer oversees a company’s business operations and reports to the Chief Executive Officer (CEO). Ensures daily operations of the company run smoothly. Chief operating officers also develop company policies, rules and goals.","|Working together with key participants to compile the budget|Controlling company costs, and introducing tactical initiatives to address theft and other losses|Spearheading strategies to steer the company’s future in a positive direction|Driving the company’s operating capabilities to surpass customer satisfaction and retention, and company goals","|Decision Making - proficiency in choosing between two or more alternatives.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Coordination - proficiency in adjusting actions in relation to other's actions.","|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Analytical - ability to collect and analyze information, problem-solve, and make decisions.|Business Analysis - proficiency in identifying business needs and determining solutions to business problems.|Cash Management - proficiency in area of financing involves the collecting, handling and usage of cash.|Hiring - <p>proficiency in the process of reviewing applications, selecting the right candidates to interview, testing candidates and to make the hiring decision.</p>|Risk Management - proficiency in evaluating and reviewing compliance with applicable legislation and regulations for the business unit and manage risk","|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Sales and Marketing - Knowledge of principles ad methods for showing, promoting, and selling products or services.|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.",https://emasco.mohr.gov.my/masco/MASCO Code : 1121-02
Chief Technical Officer,1,"Chief Technical Officer oversee all aspects of their company’s technology strategy, including planning for future technologies and systems, developing new products or services, maintaining existing systems, and managing relationships with outside vendors.","|Coordinating with other departments to ensure that new products meet customer needs.|Developing new products based on emerging technology trends in order to stay ahead of competitors.|Evaluating new technologies and determining when they should be incorporated into the company’s products or services.|Developing a comprehensive long-term technology plan for the company, including any required training for employees.","|Decision Making - proficiency in choosing between two or more alternatives.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Coordination - proficiency in adjusting actions in relation to other's actions.","|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Analytical - ability to collect and analyze information, problem-solve, and make decisions.|Business Analysis - proficiency in identifying business needs and determining solutions to business problems.|Cash Management - proficiency in area of financing involves the collecting, handling and usage of cash.|Hiring - <p>proficiency in the process of reviewing applications, selecting the right candidates to interview, testing candidates and to make the hiring decision.</p>|Risk Management - proficiency in evaluating and reviewing compliance with applicable legislation and regulations for the business unit and manage risk","|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Sales and Marketing - Knowledge of principles ad methods for showing, promoting, and selling products or services.|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.",https://emasco.mohr.gov.my/masco/MASCO Code : 1121-04
Senior Manager,2,"Senior Manager  plan, direct, coordinate and evaluate overall enterprise or organisation activities, define and formulate policies and provide overall organizational direction.","|Planning, directing and coordinating the general functions of the enterprise or organisation|Reviewing the operations and results of the enterprise or organisation and reporting to the board of directors and governing bodies|Determining objectives, strategies, policies and programmes for the enterprise or organisation|Providing overall leadership and management to the enterprise or organisation","|Decision Making - proficiency in choosing between two or more alternatives.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Coordination - proficiency in adjusting actions in relation to other's actions.","|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Analytical - ability to collect and analyze information, problem-solve, and make decisions.|Business Analysis - proficiency in identifying business needs and determining solutions to business problems.|Cash Management - proficiency in area of financing involves the collecting, handling and usage of cash.|Hiring - <p>proficiency in the process of reviewing applications, selecting the right candidates to interview, testing candidates and to make the hiring decision.</p>|Risk Management - proficiency in evaluating and reviewing compliance with applicable legislation and regulations for the business unit and manage risk","|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Sales and Marketing - Knowledge of principles ad methods for showing, promoting, and selling products or services.|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Public Relations -Likes to meet people, converse, discuss and sometimes deal with influential people. |Calculation -Likes working with numbers, statistics and calculations.",https://emasco.mohr.gov.my/masco/MASCO Code : 1121-30
General Manager,2,"General Manager plan, direct, coordinate and evaluate overall enterprise or organisation activities, define and formulate policies and provide overall organizational direction.","|Planning, directing and coordinating the general functions of the enterprise or organisation.|Reviewing the operations and results of the enterprise or organisation and reporting to the board of directors and governing bodies.|Determining objectives, strategies, policies and programmes for the enterprise or organisation|Providing overall leadership and management to the enterprise or organisation.","|Decision Making - proficiency in choosing between two or more alternatives.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Coordination - proficiency in adjusting actions in relation to other's actions.","|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Analytical - ability to collect and analyze information, problem-solve, and make decisions.|Business Analysis - proficiency in identifying business needs and determining solutions to business problems.|Cash Management - proficiency in area of financing involves the collecting, handling and usage of cash.|Hiring - <p>proficiency in the process of reviewing applications, selecting the right candidates to interview, testing candidates and to make the hiring decision.</p>|Risk Management - proficiency in evaluating and reviewing compliance with applicable legislation and regulations for the business unit and manage risk","|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Sales and Marketing - Knowledge of principles ad methods for showing, promoting, and selling products or services.|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Public Relations -Likes to meet people, converse, discuss and sometimes deal with influential people. |Calculation -Likes working with numbers, statistics and calculations.",https://emasco.mohr.gov.my/masco/MASCO Code : 1121-23
Manager,3,"Manager plan, direct, coordinate and evaluate overall enterprise or organisation activities, define and formulate policies and provide overall organizational direction.","|Planning, directing and coordinating the general functions of the enterprise or organisation|Reviewing the operations and results of the enterprise or organisation and reporting to the board of directors and governing bodies|Determining objectives, strategies, policies and programmes for the enterprise or organisation|Providing overall leadership and management to the enterprise or organisation","|Decision Making - proficiency in choosing between two or more alternatives.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Coordination - proficiency in adjusting actions in relation to other's actions.","|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Analytical - ability to collect and analyze information, problem-solve, and make decisions.|Business Analysis - proficiency in identifying business needs and determining solutions to business problems.|Cash Management - proficiency in area of financing involves the collecting, handling and usage of cash.|Hiring - <p>proficiency in the process of reviewing applications, selecting the right candidates to interview, testing candidates and to make the hiring decision.</p>|Risk Management - proficiency in evaluating and reviewing compliance with applicable legislation and regulations for the business unit and manage risk","|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Sales and Marketing - Knowledge of principles ad methods for showing, promoting, and selling products or services.|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Public Relations -Likes to meet people, converse, discuss and sometimes deal with influential people. |Calculation -Likes working with numbers, statistics and calculations.",https://emasco.mohr.gov.my/masco/MASCO Code : 1121-29
Financial Controller,1,"Financial Controller plan, organise and administer accounting systems, and examine and analyse the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures.","|Managing the overall functions of accounting and finance, including performing analysis of financial reports and treasury functions|Advising on, planning and implementing budgetary policies and systems, account control and other accounting policies and systems|Preparing and certifying financial statements for presentation to the management, shareholders and statutory or other bodies|Auditing and preparing a draft audit report, accounts of the government, statutory bodies, local authorities, Islamic Religious Council and other funds|Preparing tax returns, advising on tax problems and supporting disputed claims before tax officials|Preparing or reporting on profit forecasts and budgets|Preparing project costing and risk analysis|Identifying areas of cost reduction and recommending cost saving/control measures|Conducting financial investigations, undertaking audits, preparing reports and advising on such matters as suspected fraud, insolvency, bankruptcy, mergers, capital financing and the purchase and sale of businesses|Acting as liquidation agents in matters relating to bankruptcy and taxation","|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Writing - proficiency in communicating effectively in writing as appropriate for the needs of the audience.|Mathematics - Proficiency in using mathematics to solve problems.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.","|Financial Reporting - proficiency in using GAAP accounting practices to convey the financial performance of a company to the market, investors, and other stakeholders.|Costing Skills - Knowledgeable in total cost management concepts and terminologies.|Budgeting - proficiency in planning and allocating financial resources of a business or department for next business period.|Account Management - Proficiency in using accounting software programs and knowing how to prepare and interpret financial statements and other reports.|Financial Management - proficiency in planning, organizing, directing and controlling the financial activities.|Internal Auditing - <p>Proficiency in evaluating a company’s internal controls, including its corporate governance and accounting processes.</p>|Tax Preparation - proficiency in process of preparing tax returns|Payroll Administration - proficiency in any of the tasks necessary to organize the compensation of employees for the hours that have been worked.","|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Law and Government - Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive oders, agency rules, and the democratic political process|Clerical - Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming","|Conventional -Likes to involve in managing data, information, and processes.|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Investigative -Likes to involve in theory, research, and intellectual inquiry.",https://emasco.mohr.gov.my/masco/MASCO Code : 2411-20
Accountant,7,"Accountant plan, organise and administer accounting systems, and examine and analyse the accounting and financial records of individuals and establishments to ensure accuracy and compliance with established accounting standards and procedures.","|Managing the overall functions of accounting and finance, including performing analysis of financial reports and treasury functions|Advising on, planning and implementing budgetary policies and systems, account control and other accounting policies and systems|Preparing and certifying financial statements for presentation to the management, shareholders and statutory or other bodies|Auditing and preparing a draft audit report, accounts of the government, statutory bodies, local authorities, Islamic Religious Council and other funds|Preparing tax returns, advising on tax problems and supporting disputed claims before tax officials|Preparing or reporting on profit forecasts and budgets|Preparing project costing and risk analysis|Identifying areas of cost reduction and recommending cost saving/control measures|Conducting financial investigations, undertaking audits, preparing reports and advising on such matters as suspected fraud, insolvency, bankruptcy, mergers, capital financing and the purchase and sale of businesses|Acting as liquidation agents in matters relating to bankruptcy and taxation","|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Writing - proficiency in communicating effectively in writing as appropriate for the needs of the audience.|Mathematics - Proficiency in using mathematics to solve problems.|Complex Problem Solving - proficiency in identifying complex problems and reviewing related information to make assessments and implement solutions.","|Financial Reporting - proficiency in using GAAP accounting practices to convey the financial performance of a company to the market, investors, and other stakeholders.|Costing Skills - Knowledgeable in total cost management concepts and terminologies.|Budgeting - proficiency in planning and allocating financial resources of a business or department for next business period.|Account Management - Proficiency in using accounting software programs and knowing how to prepare and interpret financial statements and other reports.|Financial Management - proficiency in planning, organizing, directing and controlling the financial activities.|Internal Auditing - <p>Proficiency in evaluating a company’s internal controls, including its corporate governance and accounting processes.</p>|Tax Preparation - proficiency in process of preparing tax returns|Payroll Administration - proficiency in any of the tasks necessary to organize the compensation of employees for the hours that have been worked.","|Economics and Accounting - Knowledge of economic and accounting principles and practices, the financial markets, banking and the analysis and reporting of financial data.|Mathematics - Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Law and Government - Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive oders, agency rules, and the democratic political process|Clerical - Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Computer and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming","|Conventional -Likes to involve in managing data, information, and processes.|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Investigative -Likes to involve in theory, research, and intellectual inquiry.",https://emasco.mohr.gov.my/masco/MASCO Code : 2411-06
Human Resource Manager,1,"Human Resource Manager planning organizing, managing, controlling and coordinating personnel Management corporate relationships, occupational safety and health, planning and operating procedures for staff recruitment, Trainingpromotion, conversion and dismissal of staff and planning and arranging negotiations and procedures for determining the structure and level of employment and consult with employees on terms of employment. Responsible for plan, organise, direct, control and coordinate policies concerning the personnel, industrial relations and occupational safety and health of an enterprise or organisation, or of enterprises that provide human resource services to other enterprises and organisations.","|Planning, directing and coordinating policies concerning activities of personnel and the industrial relations of the enterprise or organisation|Planning and organising procedures for recruitment, Trainingpromotion, transfer and dismissal of staff|Planning and organising negotiations and procedures for determination of wage structures and levels and for consultation with workers on conditions of employment|Overseeing safety, health and related activities|Representing the company or organization in external affairs|Supervising the development and implementation of information management systems|Performing related tasks","|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Management of Personnel Resources - proficiency in motivating, developing, and directing people as they work, identifying the best for the job.|Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Decision Making - proficiency in choosing between two or more alternatives.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.","|Payroll Administration - proficiency in any of the tasks necessary to organize the compensation of employees for the hours that have been worked.|Organizational Analysis - proficiency in assessing the development, employees, activities and environment of an organisation.|Personnel Management - proficiency in managing human resources.|Performance Analysis - proficiency in studying or evaluating performance of a particular scenario in comparison of the objective which was to be achieved|Hiring - <p>proficiency in the process of reviewing applications, selecting the right candidates to interview, testing candidates and to make the hiring decision.</p>","|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Law and Government - Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive oders, agency rules, and the democratic political process|Education and Training - Knowledge of principle and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Social -Likes to communicating and teaching people, often involve helping or providing service to others.|Conventional -Likes to involve in managing data, information, and processes.|Investigative -Likes to involve in theory, research, and intellectual inquiry.|Public Relations -Likes to meet people, converse, discuss and sometimes deal with influential people. |Calculation -Likes working with numbers, statistics and calculations.",https://emasco.mohr.gov.my/masco/MASCO Code : 1212-02
Training Specialist,9,"Training Specialist provide professional business services related to personnel policies such as employee recruitment or development, occupational analyses and vocational guidance.","|Advising on and performing personnel functions relating to recruitment, placement, training staff performance, promotion, compensation and employee-management relations|Maintaining personnel records and associated human resource information systems|Studying and analysing jobs performed in an establishment, conducting interviews with workers, supervisors and the Management and writing detailed post, job and occupation descriptions from data obtained|Preparing occupational information booklets/pamphlets and occupational classification systems|Improving understanding and coordinating work execution|Performing related tasks","|Speaking - Proficiency in communicating effectively as well as convey information verbally and in a way that can understand.|Active Listening - Proficiency in giving full attention to what other people are saying, taking time to understand the points being made and asking questions as appropriate.|Reading Comprehension - Proficiency in understanding written sentences and paragraphs in work related documents.|Critical Thinking - Proficiency in using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems. |Writing - proficiency in communicating effectively in writing as appropriate for the needs of the audience.",|Administration Management - proficiency in the process of creating information systems and supervising its flow from and to others within an organization.|Performance Management - proficiency in corporate management tool that helps managers monitor and evaluate employees' work.|Talent Acquisition - proficiency in finding and acquiring skilled human labor for organizational needs and to meet any labor requirement.|Business Management - proficiency in managing the coordination and organization of business activities.|Personnel Management - proficiency in managing human resources.,"|Personnel Human Resources - Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relatons and negotiation, and personnel information systems|Clerical - Knowledge of administrative and clerical procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and other office procedures and terminology|Administration and Management - Knowledge of business and management principle involved in strategic planning, resource allocation, human resources modelling, leadership technique, production methods, and coordination of people and resources|English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.|Customer and Personal Service - Knowledge of principles and processes for providing customer and personal services.","|Enterprising -Likes to involve in starting up and carrying out projects and often deal with business.|Conventional -Likes to involve in managing data, information, and processes.|Social -Likes to communicating and teaching people, often involve helping or providing service to others.",https://emasco.mohr.gov.my/masco/MASCO Code : 2423-20
